ID_Service,Servicio,Activar Servicio,Tipo de Servicio,ID_Tipo_Servicio,Costo Servicio,Tiempo de Ejecucion,Tiempo Biolimpieza,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Verrugas,665ff2b991993d68814e8e6f,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Lunares,665ff2c691993d68814e8e71,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Minium,665ff2d191993d68814e8e73,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Queloide,665ff2e291993d68814e8e75,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Masajes Reductivos,665ff2f191993d68814e8e77,200000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Lipopapada,665ff2fb91993d68814e8e79,250000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Drenaje Linfatico,665ff30891993d68814e8e7b,150000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Tonificacion Gluteo,665ff31491993d68814e8e7d,250000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Sueroterapia,665ff32091993d68814e8e7f,300000,85,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Despigmentacion Corporal,665ff32c91993d68814e8e81,250000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Limpieza Facial Basica,665ff3ae91993d68814e8e85,100000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Limpieza Facial Profunda,665ff3b991993d68814e8e87,180000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Limpieza Facial Acne,665ff3c391993d68814e8e89,190000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Limpieza Facial Melasmas,665ff3d291993d68814e8e8b,190000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Tratamiento Contorno Ojos,64ab9c1ad82418177a723809,500000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Plasma Rico Plaqueta,665ff3e991993d68814e8e8f,180000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Plasma Gel Facial (relleno),665ff3fb91993d68814e8e91,200000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Dermapen,665ff41d91993d68814e8e93,190000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Bioestimulacion Colageno y Elastina,665ff42891993d68814e8e95,200000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Nutricion con Bitaminas,665ff43391993d68814e8e97,250000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Botox (Toxina Botulinica),665ff44191993d68814e8e99,1000000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Tratamientos Seg�n Tipo de Piel,64ab9c67d82418177a723815,200000,40,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Reducci�n de Papada,64ab9c94d82418177a72381d,400000,55,5,,,,,,,,,,
64ab9b60d82418177a7237fd,Cuidado Facial,true,Exfoliacion Facial,64ab9bcdd82418177a723801,80000,20,5,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Dise�o Depilacion de Cejas Con Cera,665ff54291993d68814e8e9f,40000,20,2,,,,,,,,,,
665fd1c93a9d1e5376a0ee26,Cejas y Pesta�as,true,Dise�o Depilacion de Cejas Con Hilo,665ff55791993d68814e8ea1,40000,20,2,,,,,,,,,,
